!!SBtab SBtabVersion='0.8' TableType='Definition' TableName='Allowed_types'		
!TableType	!ColumnName	!Format
Reaction	Comment	Text
Reaction	ReferenceName	
Reaction	ReferencePubMed	
Reaction	ReferenceDOI	
Reaction	Description	
Reaction	Name	
Reaction	MiriamAnnotations	
Reaction	Type	
Reaction	Reaction	
Reaction	SBML:reaction:id	
Reaction	SumFormula	
Reaction	Location	
Reaction	Modifier	
Reaction	Model	
Reaction	Pathway	
Reaction	SubreactionOf	
Reaction	IsComplete	
Reaction	IsReversible	
Reaction	IsInEquilibrium	
Reaction	IsExchangeReaction	
Reaction	Flux	
Reaction	IsNonEnzymatic	
Reaction	KineticLaw	
Reaction	Gene	
Reaction	Operon	
Reaction	Enzyme:SBML:species:id	
Reaction	Enzyme:SBML:parameter:id	
Reaction	BuildReaction	
Reaction	BuildEnzyme	
Reaction	BuildEnzymeProduction	
Reaction	Identifiers:	
Compound	Comment	
Compound	ReferenceName	
Compound	ReferencePubMed	
Compound	ReferenceDOI	
Compound	Description	
Compound	Name	
Compound	MiriamAnnotations	
Compound	Type	
Compound	Compound	
Compound	SBML:species:id	
Compound	SBML:speciestype:id	
Compound	Location	
Compound	State	
Compound	CompoundSumFormula	
Compound	StructureFormula	
Compound	Charge	
Compound	Mass	
Compound	IsConstant	
Compound	EnzymeRole	
Compound	RegulatorRole	
Compound	Identifiers:	
Enzyme	Comment	
Enzyme	ReferenceName	
Enzyme	ReferencePubMed	
Enzyme	ReferenceDOI	
Enzyme	Description	
Enzyme	Name	
Enzyme	MiriamAnnotations	
Enzyme	Type	
Enzyme	Enzyme	
Enzyme	CatalysedReaction	
Enzyme	KineticLaw	
Enzyme	Gene	
Enzyme	Identifiers:	
Compartment	Comment	
Compartment	ReferenceName	
Compartment	ReferencePubMed	
Compartment	ReferenceDOI	
Compartment	Description	
Compartment	Name	
Compartment	MiriamAnnotations	
Compartment	Type	
Compartment	Compartment	
Compartment	SBML:compartment:id	
Compartment	OuterCompartment	
Compartment	OuterCompartment:SBML:compartment:id	
Compartment	Size	
Compartment	Identifiers:	
Quantity	Comment	
Quantity	ReferenceName	
Quantity	ReferencePubMed	
Quantity	ReferenceDOI	
Quantity	Description	
Quantity	Name	
Quantity	MiriamAnnotations	
Quantity	Type	
Quantity	Quantity	
Quantity	QuantityType	
Quantity	SBML:parameter:id	
Quantity	Unit	
Quantity	Scale	
Quantity	Condition	
Quantity	pH	
Quantity	Temperature	
Quantity	Location	
Quantity	SBML:compartment:id	
Quantity	Compound	
Quantity	Compound:SBML:species:id	
Quantity	Reaction	
Quantity	Reaction:SBML:reaction:id	
Quantity	Enyzme	
Quantity	Enyzme:SBML:species:id	
Quantity	Enyzme:SBML:parameter:id	
Quantity	Gene	
Quantity	Organism	
Quantity	Identifiers:	
Quantity	Provenance	
Regulator	Comment	
Regulator	ReferenceName	
Regulator	ReferencePubMed	
Regulator	ReferenceDOI	
Regulator	Description	
Regulator	Name	
Regulator	MiriamAnnotations	
Regulator	Type	
Regulator	Regulator	
Regulator	State	
Regulator	TargetGene	
Regulator	TargetOperon	
Regulator	TargetPromoter	
Regulator	Identifiers:	
Gene	Comment	
Gene	ReferenceName	
Gene	ReferencePubMed	
Gene	ReferenceDOI	
Gene	Description	
Gene	Name	
Gene	MiriamAnnotations	
Gene	Type	
Gene	Gene	
Gene	GeneLocus	
Gene	GeneProduct	
Gene	GeneProduct:SBML:species:id	
Gene	Operon	
Gene	Identifiers:	
Relationship	Comment	
Relationship	ReferenceName	
Relationship	ReferencePubMed	
Relationship	ReferenceDOI	
Relationship	Description	
Relationship	Relationship	
