!!SBtab SBtabVersion="0.8" Document="recon2.v02" TableType="Compound" TableName="Compound"							
!Compound	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!Identifiers:obo.chebi
M_10fthf5glu_c	10-formyltetrahydrofolate-[Glu](5)	c	-6	False	247	1.0	
M_10fthf5glu_l	10-formyltetrahydrofolate-[Glu](5)	l	-6	False	247	1.0	
M_10fthf5glu_m	10-formyltetrahydrofolate-[Glu](5)	m	-6	False	247	1.0	
M_10fthf6glu_c	10-formyltetrahydrofolate-[Glu](6)	c	-7	False	247	1.0	
M_10fthf6glu_l	10-formyltetrahydrofolate-[Glu](6)	l	-7	False	247	1.0	
M_10fthf6glu_m	10-formyltetrahydrofolate-[Glu](6)	m	-7	False	247	1.0	
M_10fthf7glu_c	10-formyltetrahydrofolate-[Glu](7)	c	-8	False	247	1.0	
M_10fthf7glu_l	10-formyltetrahydrofolate-[Glu](7)	l	-8	False	247	1.0	
M_10fthf7glu_m	10-formyltetrahydrofolate-[Glu](7)	m	-8	False	247	1.0	
M_10fthf_c	10-Formyltetrahydrofolate	c	-2	False	247	1.0	
M_10fthf_l	10-formyltetrahydrofolate(2-)	l	-2	False	247	1.0	CHEBI:57454
M_10fthf_m	10-formyltetrahydrofolate(2-)	m	-2	False	247	1.0	CHEBI:57454
M_11docrtsl_c	11-deoxycortisol	c	0	False	247	1.0	CHEBI:28324
M_11docrtsl_m	11-deoxycortisol	m	0	False	247	1.0	CHEBI:28324
M_11docrtsl_r	11-deoxycortisol	r	0	False	247	1.0	CHEBI:28324
M_11docrtstrn_c	11-deoxycorticosterone	c	0	False	247	1.0	CHEBI:16973
M_11docrtstrn_m	11-deoxycorticosterone	m	0	False	247	1.0	CHEBI:16973
M_11docrtstrn_r	11-deoxycorticosterone	r	0	False	247	1.0	CHEBI:16973
M_13dampp_c	trimethylenediaminium	c	2	False	247	1.0	CHEBI:57484
M_h2o_c	H2O	c	0	False	247	1.0	
M_o2_c	O2	c	0	False	247	1.0	CHEBI:15379
M_bamppald_c	beta-Aminopropion aldehyde	c	1	False	247	1.0	
