!!SBtab SBtabVersion="0.8" Document="recon2.v02" TableType="Reaction" TableName="Reaction"								
!Reaction	!Name	!ReactionFormula	!Location	!Regulator	!KineticLaw	!SBOTerm	!IsReversible	!Identifiers:obo.eco
R_10FTHF5GLUtl	5-glutamyl-10FTHF transport, lysosomal	M_10fthf5glu_c <=> M_10fthf5glu_l			FLUX_VALUE	185	False	
R_10FTHF5GLUtm	5-glutamyl-10FTHF transport, mitochondrial	M_10fthf5glu_m <=> M_10fthf5glu_c			FLUX_VALUE	185	False	ECO:0000000
R_10FTHF6GLUtl	6-glutamyl-10FTHF transport, lysosomal	M_10fthf6glu_c <=> M_10fthf6glu_l			FLUX_VALUE	185	False	ECO:0000000
R_10FTHF6GLUtm	6-glutamyl-10FTHF transport, mitochondrial	M_10fthf6glu_m <=> M_10fthf6glu_c			FLUX_VALUE	185	False	ECO:0000000
R_10FTHF7GLUtl	7-glutamyl-10FTHF transport, lysosomal	M_10fthf7glu_c <=> M_10fthf7glu_l			FLUX_VALUE	185	False	ECO:0000000
R_10FTHF7GLUtm	7-glutamyl-10FTHF transport, mitochondrial	M_10fthf7glu_m <=> M_10fthf7glu_c			FLUX_VALUE	185	False	ECO:0000000
R_10FTHFtl	10-Formyltetrahydrofolate lysosomal transport via diffusion	M_10fthf_c <=> M_10fthf_l			FLUX_VALUE	185	True	ECO:0000000
R_10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion	M_10fthf_c <=> M_10fthf_m			FLUX_VALUE	185	True	ECO:0000000
R_11DOCRTSLtm	11-deoxycortisol intracellular transport	M_11docrtsl_c <=> M_11docrtsl_m			FLUX_VALUE	185	True	ECO:0000000
R_11DOCRTSLtr	11-deoxycortisol intracellular transport	M_11docrtsl_c <=> M_11docrtsl_r			FLUX_VALUE	185	True	ECO:0000000
R_11DOCRTSTRNtm	11-deoxycorticosterone intracellular transport	M_11docrtstrn_c <=> M_11docrtstrn_m			FLUX_VALUE	185	True	ECO:0000000
R_11DOCRTSTRNtr	11-deoxycorticosterone intracellular transport	M_11docrtstrn_c <=> M_11docrtstrn_r			FLUX_VALUE	185	True	ECO:0000000
R_13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	M_13dampp_c + M_h2o_c + M_o2_c <=> M_bamppald_c + M_h2o2_c + M_nh4_c		_8639_1_c|_26_1_c|_314_2_c|_314_1_c	FLUX_VALUE	176	False	ECO:0000212
R_1a_24_25VITD2Hm	1-alpha-Vitamin D-24,25-hydroxylase (D2)	M_2425dhvitd2_m + M_h_m + M_nadph_m + M_o2_m <=> M_1a2425thvitd2_m + M_h2o_m + M_nadp_m			FLUX_VALUE	176	False	ECO:0000134
R_1a_24_25VITD3Hm	1-alpha-Vitamin D-24,25-hydroxylase (D3)	M_h_m + M_nadph_m + M_o2_m + M_2425dhvitd3_m <=> M_h2o_m + M_nadp_m + M_1a2425thvitd3_m			FLUX_VALUE	176	False	ECO:0000134
R_1a_25VITD2Hm	1-alpha,24R,25-Vitamin D-hydroxylase (D2)	M_h_m + M_nadph_m + M_o2_m + M_1a25dhvitd2_m <=> M_1a2425thvitd2_m + M_h2o_m + M_nadp_m			FLUX_VALUE	176	False	ECO:0000134
R_1a_25VITD3Hm	1-alpha,24R,25-Vitamin D-hydroxylase (D3)	M_h_m + M_nadph_m + M_o2_m + M_1a25dhvitd3_m <=> M_h2o_m + M_nadp_m + M_1a2425thvitd3_m			FLUX_VALUE	176	False	ECO:0000134
R_1MNCAMti	N1-Methylnicotinamide transport	M_h2o_c + M_1mncam_c + M_atp_c <=> M_1mncam_e + M_adp_c + M_h_c + M_pi_c			FLUX_VALUE	185	False	ECO:0000000
R_1PPDCRp	delta1-piperideine-2-carboxylate reductase, perixosomal	M_1pipdn2c_x + M_h_x + M_nadh_x <=> M_Lpipecol_x + M_nad_x			FLUX_VALUE	176	False	ECO:0000000
R_24_25DHVITD2t	24,25-Dihydroxyvitamin D2 transport from cytoplasm	M_2425dhvitd2_c <=> M_2425dhvitd2_e			FLUX_VALUE	185	False	ECO:0000000
R_24_25DHVITD2tm	24,25-Dihydroxyvitamin D2 transport from mitochondria	M_2425dhvitd2_m <=> M_2425dhvitd2_c			FLUX_VALUE	185	False	ECO:0000000
R_24_25DHVITD3t	24,25-Dihydroxyvitamin D3 transport from cytoplasm	M_2425dhvitd3_c <=> M_2425dhvitd3_e			FLUX_VALUE	185	False	ECO:0000000
R_24_25DHVITD3tm	24,25-Dihydroxyvitamin D3 transport from mitochondria	M_2425dhvitd3_m <=> M_2425dhvitd3_c			FLUX_VALUE	185	False	ECO:0000000
R_24_25VITD2Hm	24R-Vitamin D-25-hydroxylase (D2)	M_h_m + M_nadph_m + M_o2_m + M_25hvitd2_m <=> M_2425dhvitd2_m + M_h2o_m + M_nadp_m		_1591_1_m	FLUX_VALUE	176	False	ECO:0000000
R_24_25VITD3Hm	24R-Vitamin D-25-hydroxylase (D3)	M_h_m + M_nadph_m + M_o2_m + M_25hvitd3_m <=> M_h2o_m + M_nadp_m + M_2425dhvitd3_m		_1591_1_m	FLUX_VALUE	176	False	ECO:0000269
R_24NPHte	xenobiotic transport	M_24nph_e <=> M_24nph_c			FLUX_VALUE	185	True	ECO:0000000
R_25HVITD2t	25-hydroxyvitamin D2 transport from cytoplasm	M_25hvitd2_c <=> M_25hvitd2_e			FLUX_VALUE	185	False	ECO:0000000
R_25HVITD2tin	25-hydroxyvitamin D2 transport in cytoplasm	M_25hvitd2_e <=> M_25hvitd2_c			FLUX_VALUE	185	False	ECO:0000000
R_25HVITD2tin_m	25-hydroxyvitamin D2 transport in mitochondria	M_25hvitd2_c <=> M_25hvitd2_m			FLUX_VALUE	185	False	ECO:0000000
R_25HVITD2tm	25-hydroxyvitamin D2 transport from mitochondria	M_25hvitd2_m <=> M_25hvitd2_c			FLUX_VALUE	185	False	ECO:0000000
R_25HVITD3t	25-hydroxyvitamin D3 transport from cytoplasm	M_25hvitd3_c <=> M_25hvitd3_e			FLUX_VALUE	185	False	ECO:0000000
R_25HVITD3tin	25-hydroxyvitamin D3 transport in cytoplasm	M_25hvitd3_e <=> M_25hvitd3_c			FLUX_VALUE	185	False	ECO:0000000
R_25HVITD3tin_m	25-hydroxyvitamin D3 transport in mitochondria	M_25hvitd3_c <=> M_25hvitd3_m			FLUX_VALUE	185	False	ECO:0000000
R_25HVITD3tm	25-hydroxyvitamin D3 transport from mitochondria	M_25hvitd3_m <=> M_25hvitd3_c			FLUX_VALUE	185	False	ECO:0000000
R_25VITD2Hm	1-alpha-Vitamin D-25-hydroxylase (D2)	M_h_m + M_nadph_m + M_o2_m + M_25hvitd2_m <=> M_h2o_m + M_nadp_m + M_1a25dhvitd2_m		_1594_1_m	FLUX_VALUE	176	False	ECO:0000269
R_25VITD3Hm	1-alpha-Vitamin D-25-hydroxylase (D3)	M_h_m + M_nadph_m + M_o2_m + M_25hvitd3_m <=> M_h2o_m + M_nadp_m + M_1a25dhvitd3_m		_1594_1_m	FLUX_VALUE	176	False	ECO:0000269
R_2AMACHYD	2-Aminoacrylate hydrolysis	M_h2o_c + M_2amac_c <=> M_nh4_c + M_pyr_c			FLUX_VALUE	176	False	ECO:0000000
R_2AMACSULT	2-Aminoacrylate sulfotransferase	M_2amac_c + M_nadph_c + M_paps_c <=> M_Lcyst_c + M_nadp_c + M_pap_c			FLUX_VALUE	176	False	ECO:0000000
R_2AMADPTm	L-2-aminoadipate shuttle (cytosol/mitochondria)	M_L2aadp_c + M_akg_m <=> M_L2aadp_m + M_akg_c		_89874_1_c	FLUX_VALUE	185	True	ECO:0000269
R_2DR1PP	2-deoxy-D-ribose 1-phosphate phosphorylase	M_h2o_c + M_2dr1p_c <=> M_pi_c + M_drib_c			FLUX_VALUE	176	False	ECO:0000000
