!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compartment' TableName='Compartment'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular	nan		
g	Golgi	nan		
m	Mitochondria	nan		
l	l	nan		
n	Nucleus	nan		
p	periplasm	nan		
r	Endoplasmic reticulum	nan		
x	Glyoxysome	nan		

!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compound' TableName='Compound'
!ID	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge
M_10fthf_c	10fthf_c	c	0	False		nan	False		0
M_10fthf5glu_c	10fthf5glu_c	c	0	False		nan	False		0
M_10fthf6glu_c	10fthf6glu_c	c	0	False		nan	False		0
M_10fthf7glu_c	10fthf7glu_c	c	0	False		nan	False		0
M_11__cis__retfa_c	11__cis__retfa_c	c	0	False		nan	False		0
M_11docrtsl_c	11docrtsl_c	c	0	False		nan	False		0
M_11docrtstrn_c	11docrtstrn_c	c	0	False		nan	False		0
M_12HPET_c	12HPET_c	c	0	False		nan	False		0
M_12RHPET_c	12RHPET_c	c	0	False		nan	False		0
M_12ppd__R_c	12ppd__R_c	c	0	False		nan	False		0
M_12ppd__S_c	12ppd__S_c	c	0	False		nan	False		0
M_13__cis__oretn_c	13__cis__oretn_c	c	0	False		nan	False		0
M_13__cis__retn_c	13__cis__retn_c	c	0	False		nan	False		0
M_13__cis__retnglc_c	13__cis__retnglc_c	c	0	False		nan	False		0
M_13dampp_c	13dampp_c	c	0	False		nan	False		0
M_13dpg_c	13dpg_c	c	0	False		nan	False		0
M_15HPET_c	15HPET_c	c	0	False		nan	False		0
M_17ahprgnlone_c	17ahprgnlone_c	c	0	False		nan	False		0
M_17ahprgstrn_c	17ahprgstrn_c	c	0	False		nan	False		0
M_1mncam_c	1mncam_c	c	0	False		nan	False		0
M_1mpyr_c	1mpyr_c	c	0	False		nan	False		0
M_1pyr5c_c	1pyr5c_c	c	0	False		nan	False		0
M_23doguln_c	23doguln_c	c	0	False		nan	False		0
M_23dpg_c	23dpg_c	c	0	False		nan	False		0
M_2425dhvitd2_c	2425dhvitd2_c	c	0	False		nan	False		0
M_2425dhvitd3_c	2425dhvitd3_c	c	0	False		nan	False		0
M_24nph_c	24nph_c	c	0	False		nan	False		0
M_25aics_c	25aics_c	c	0	False		nan	False		0
M_25hvitd2_c	25hvitd2_c	c	0	False		nan	False		0
M_25hvitd3_c	25hvitd3_c	c	0	False		nan	False		0
M_2amac_c	2amac_c	c	0	False		nan	False		0
M_2ameph_c	2ameph_c	c	0	False		nan	False		0
M_2c23dh56dhoxin_c	2c23dh56dhoxin_c	c	0	False		nan	False		0
M_2dr1p_c	2dr1p_c	c	0	False		nan	False		0
M_2dr5p_c	2dr5p_c	c	0	False		nan	False		0
M_2hb_c	2hb_c	c	0	False		nan	False		0
M_2hyoxplac_c	2hyoxplac_c	c	0	False		nan	False		0
M_2kmb_c	2kmb_c	c	0	False		nan	False		0
M_2mcacn_c	2mcacn_c	c	0	False		nan	False		0
M_2mcit_c	2mcit_c	c	0	False		nan	False		0
M_2obut_c	2obut_c	c	0	False		nan	False		0
M_2oxoadp_c	2oxoadp_c	c	0	False		nan	False		0
M_2pg_c	2pg_c	c	0	False		nan	False		0
M_2pglyc_c	2pglyc_c	c	0	False		nan	False		0
M_34dhcinm_c	34dhcinm_c	c	0	False		nan	False		0
M_34dhmald_c	34dhmald_c	c	0	False		nan	False		0
M_34dhoxmand_c	34dhoxmand_c	c	0	False		nan	False		0
M_34dhoxpeg_c	34dhoxpeg_c	c	0	False		nan	False		0
M_34dhpac_c	34dhpac_c	c	0	False		nan	False		0
M_34dhpha_c	34dhpha_c	c	0	False		nan	False		0
M_34dhphe_c	34dhphe_c	c	0	False		nan	False		0
M_34hpp_c	34hpp_c	c	0	False		nan	False		0
M_35cgmp_c	35cgmp_c	c	0	False		nan	False		0
M_35diotyr_c	35diotyr_c	c	0	False		nan	False		0
M_3aib_c	3aib_c	c	0	False		nan	False		0
M_3aib__D_c	3aib__D_c	c	0	False		nan	False		0
M_3dhguln_c	3dhguln_c	c	0	False		nan	False		0
M_3dsphgn_c	3dsphgn_c	c	0	False		nan	False		0
M_3hanthrn_c	3hanthrn_c	c	0	False		nan	False		0
M_3hpcoa_c	3hpcoa_c	c	0	False		nan	False		0
M_3hpp_c	3hpp_c	c	0	False		nan	False		0
M_3htmelys_c	3htmelys_c	c	0	False		nan	False		0
M_3hxkynam_c	3hxkynam_c	c	0	False		nan	False		0
M_3ityr__L_c	3ityr__L_c	c	0	False		nan	False		0
M_3m4hpga_c	3m4hpga_c	c	0	False		nan	False		0
M_3mlda_c	3mlda_c	c	0	False		nan	False		0
M_3mldz_c	3mldz_c	c	0	False		nan	False		0
M_3mob_c	3mob_c	c	0	False		nan	False		0
M_3mop_c	3mop_c	c	0	False		nan	False		0
M_3mox4hoxm_c	3mox4hoxm_c	c	0	False		nan	False		0
M_3mox4hpac_c	3mox4hpac_c	c	0	False		nan	False		0
M_3moxtyr_c	3moxtyr_c	c	0	False		nan	False		0
M_3padsel_c	3padsel_c	c	0	False		nan	False		0
M_3pg_c	3pg_c	c	0	False		nan	False		0
