127.0.0.1, 2013-12-20 16:26:05, GET, /admin/default/site, HTTP/1.1, 303, 0.289029
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/default/index, HTTP/1.1, 200, 0.237948
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.003269
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.002313
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.002203
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.002492
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002174
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002722
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.002667
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003274
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003555
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002218
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001927
127.0.0.1, 2013-12-20 16:26:05, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002398
127.0.0.1, 2013-12-20 16:26:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2013-12-20 16:26:08, POST, /admin/default/index, HTTP/1.1, 303, 0.057720
127.0.0.1, 2013-12-20 16:26:08, GET, /admin/default/site, HTTP/1.1, 200, 0.066269
127.0.0.1, 2013-12-20 16:26:09, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.006327
127.0.0.1, 2013-12-20 16:26:09, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.005727
127.0.0.1, 2013-12-20 16:26:09, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.003387
127.0.0.1, 2013-12-20 16:26:09, POST, /admin/default/check_version, HTTP/1.1, 200, 0.351121
127.0.0.1, 2013-12-20 16:26:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2013-12-20 16:26:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2013-12-20 16:26:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2013-12-20 16:26:35, POST, /admin/default/site, HTTP/1.1, 200, 0.081259
127.0.0.1, 2013-12-20 16:26:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2013-12-20 16:26:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2013-12-20 16:26:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
